,entrada,cenario,rodada,tempo_desconectado,tempo_conectado_sem_link,tempo_sem_link
137,"(5, 6)",SimulacaoCenario1Deterministico,13.0,0.7151311265457916,0.2765236283434071,0.9916547548891986
138,"(5, 6)",SimulacaoCenario1Deterministico,13.0,0.7098497505630006,0.2816003803426737,0.9914501309056744
139,"(5, 6)",SimulacaoCenario1Deterministico,13.0,0.777237233759004,0.19406597672512213,0.9713032104841263
140,"(5, 6)",SimulacaoCenario1Deterministico,14.0,0.7971305838237727,0.19041127859658993,0.9875418624203626
141,"(5, 6)",SimulacaoCenario1Deterministico,14.0,0.6816232069071719,0.2903576216595647,0.9719808285667367
142,"(5, 6)",SimulacaoCenario1Deterministico,14.0,0.7185619782065189,0.27869802561329515,0.997260003819814
143,"(5, 6)",SimulacaoCenario1Deterministico,14.0,0.7222594017805393,0.267841143433574,0.9901005452141134
144,"(5, 6)",SimulacaoCenario1Deterministico,14.0,0.7800692176692381,0.2089197953326345,0.9889890130018726
145,"(5, 6)",SimulacaoCenario1Deterministico,14.0,0.6822550279427575,0.2975522209759379,0.9798072489186955
146,"(5, 6)",SimulacaoCenario1Deterministico,14.0,0.7290274190313034,0.2501115174087681,0.9791389364400716
147,"(5, 6)",SimulacaoCenario1Deterministico,14.0,0.6874258820252463,0.2856134986381964,0.9730393806634426
148,"(5, 6)",SimulacaoCenario1Deterministico,14.0,0.6733304427162798,0.3109229695679506,0.9842534122842305
149,"(5, 6)",SimulacaoCenario1Deterministico,14.0,0.667272368207565,0.3147353886150906,0.9820077568226556
150,"(5, 6)",SimulacaoCenario1Deterministico,15.0,0.7442192434681513,0.24501072850582764,0.9892299719739789
151,"(5, 6)",SimulacaoCenario1Deterministico,15.0,0.719586177529123,0.27021765544415716,0.9898038329732801
152,"(5, 6)",SimulacaoCenario1Deterministico,15.0,0.6702833163745338,0.3191274291613455,0.9894107455358794
153,"(5, 6)",SimulacaoCenario1Deterministico,15.0,0.6963218584576379,0.29068674058888383,0.9870085990465217
154,"(5, 6)",SimulacaoCenario1Deterministico,15.0,0.6905619539955873,0.30352344392831265,0.9940853979238998
155,"(5, 6)",SimulacaoCenario1Deterministico,15.0,0.6219101347519544,0.35624037114250634,0.9781505058944607
156,"(5, 6)",SimulacaoCenario1Deterministico,15.0,0.7615914373003766,0.23335055637211935,0.994941993672496
157,"(5, 6)",SimulacaoCenario1Deterministico,15.0,0.7389795414476173,0.2432938484475192,0.9822733898951366
158,"(5, 6)",SimulacaoCenario1Deterministico,15.0,0.7128908100217012,0.24361501625442603,0.9565058262761273
159,"(5, 6)",SimulacaoCenario1Deterministico,15.0,0.6680019924693446,0.30033960557495776,0.9683415980443023
