,datetime,level,content
276,2021-10-26 14:05:15.750185,0.0,(92) Proposto: 0.0013513513513513514|Atual: 0.0014534883720930232
277,2021-10-26 14:05:15.752476,0.0,(92) Aceitação: 0.9297297297297298|U: 0.062201611261204826
278,2021-10-26 14:05:15.755779,0.0,(92) Aceito!
279,2021-10-26 14:05:15.762391,0.0,(93) Proposto: 0.0013513513513513514|Atual: 0.0013513513513513514
280,2021-10-26 14:05:15.765118,0.0,(93) Aceitação: 1.0|U: 0.16545167477279965
281,2021-10-26 14:05:15.767263,0.0,(93) Aceito!
282,2021-10-26 14:05:15.775120,0.0,(94) Proposto: 0.0014204545454545455|Atual: 0.0013513513513513514
283,2021-10-26 14:05:15.777873,0.0,(94) Aceitação: 1.0511363636363635|U: 0.4668936154790514
284,2021-10-26 14:05:15.780019,0.0,(94) Aceito!
285,2021-10-26 14:05:15.785740,0.0,(95) Proposto: 0.001445086705202312|Atual: 0.0014204545454545455
286,2021-10-26 14:05:15.789074,0.0,(95) Aceitação: 1.0173410404624277|U: 0.5723932229576212
287,2021-10-26 14:05:15.791318,0.0,(95) Aceito!
288,2021-10-26 14:05:15.797596,0.0,(96) Proposto: 0.0013812154696132596|Atual: 0.001445086705202312
289,2021-10-26 14:05:15.799895,0.0,(96) Aceitação: 0.9558011049723757|U: 0.15128477435869792
290,2021-10-26 14:05:15.801839,0.0,(96) Aceito!
291,2021-10-26 14:05:15.808426,0.0,(97) Proposto: 0.0015060240963855422|Atual: 0.0013812154696132596
292,2021-10-26 14:05:15.810487,0.0,(97) Aceitação: 1.0903614457831325|U: 0.9072382876595169
293,2021-10-26 14:05:15.812650,0.0,(97) Aceito!
294,2021-10-26 14:05:15.818404,0.0,(98) Proposto: 0.0014970059880239522|Atual: 0.0015060240963855422
295,2021-10-26 14:05:15.821344,0.0,(98) Aceitação: 0.9940119760479043|U: 0.09111179034789485
296,2021-10-26 14:05:15.823767,0.0,(98) Aceito!
297,2021-10-26 14:05:15.829256,0.0,(99) Proposto: 0.0015479876160990713|Atual: 0.0014970059880239522
298,2021-10-26 14:05:15.831864,0.0,(99) Aceitação: 1.0340557275541795|U: 0.27399394601681715
299,2021-10-26 14:05:15.833890,0.0,(99) Aceito!
